celery-worker  | DEBUG 2025-07-16 16:01:22,327 sync_plan_executor Pack bsf_pk_93115d92be4859f2 has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_MEZZ', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,327 sync_plan_executor Created new pack bsf_pk_93115d92be4859f2: create
celery-worker  | DEBUG 2025-07-16 16:01:22,328 sync_plan_executor Pack bsf_pk_8b4bcfab9437666c has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_ORC', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,328 sync_plan_executor Created new pack bsf_pk_8b4bcfab9437666c: create
celery-worker  | DEBUG 2025-07-16 16:01:22,329 sync_plan_executor Pack bsf_pk_744a5ccb625e5636 has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_ORC', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,329 sync_plan_executor Created new pack bsf_pk_744a5ccb625e5636: create
celery-worker  | DEBUG 2025-07-16 16:01:22,330 sync_plan_executor Pack bsf_pk_761d83813bf2dfdf has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_MEZZ', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,330 sync_plan_executor Created new pack bsf_pk_761d83813bf2dfdf: create
celery-worker  | DEBUG 2025-07-16 16:01:22,330 sync_plan_executor Pack bsf_pk_a1b2655fe2d2eeea has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_LOGE', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,331 sync_plan_executor Created new pack bsf_pk_a1b2655fe2d2eeea: create
celery-worker  | DEBUG 2025-07-16 16:01:22,331 sync_plan_executor Pack bsf_pk_f0d629902549fa93 has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_MEZZ', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,331 sync_plan_executor Created new pack bsf_pk_f0d629902549fa93: create
celery-worker  | DEBUG 2025-07-16 16:01:22,332 sync_plan_executor Pack bsf_pk_175d627f5bf1fe25 has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_ORC', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,332 sync_plan_executor Created new pack bsf_pk_175d627f5bf1fe25: create
celery-worker  | DEBUG 2025-07-16 16:01:22,332 sync_plan_executor Pack bsf_pk_edb3e12199974fbb has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_ORC', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,333 sync_plan_executor Created new pack bsf_pk_edb3e12199974fbb: create
